,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelswalkingStairs,labelsnonSpecific,labelsshoesOnOff,labelsonTable,labelswalking,labelsrunning,labelssitting,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2021-06-08 20:39:05.688794880,1.3707284688999999,-0.6689135730250001,9.7807821273,0.0012047278191142858,-0.0027391706327142763,-0.001236431163333324,0,0,0,0,0,0,1,5.200000048,14.045127869199998,9.629703979519999,-50.146879272400014
2021-06-08 20:39:05.938794880,1.364678030904762,-0.6802168148095237,9.77311370490476,-0.003302222414454995,-0.0014380645128,-0.0016777420270999849,0,0,0,0,0,0,1,4.699999809,14.0475676336,9.82685588828,-50.138583221999994
2021-06-08 20:39:06.188794880,1.38245329255,-0.675852754695,9.7714501382,0.0018641578148800002,-0.00010652330234999501,-0.0032755915567999902,0,0,0,0,0,0,1,5.099999905,14.010967789199999,9.692655830440001,-50.1644470208
2021-06-08 20:39:06.438794880,1.3817354500000003,-0.6784848630549999,9.780303621249999,-0.00351526894956,-0.0014913261984000003,0.0008255555993499948,0,0,0,0,0,0,1,4.900000095,13.9543597024,9.650687789880001,-50.050742646399996
2021-06-08 20:39:06.688794880,1.37144629965,-0.68015983998,9.772646617849999,-0.0005326165379499952,0.000852186419099995,-0.003275591569849995,0,0,0,0,0,0,1,4.900000095,14.019263840799999,9.76975982668,-50.1868954464
2021-06-08 20:39:06.938794880,1.3659428060499998,-0.7210770994350001,9.7884392261,0.012250179683734987,-0.0016511111521999844,0.001997311928499985,0,0,0,0,0,0,1,5.099999905,14.0417116928,9.77512783052,-50.10881485
2021-06-08 20:39:07.188794880,1.38245328675,-0.6030511274900001,9.7889176845,0.04724308375774995,-0.008841434005399993,-0.0011451255211499748,0,0,0,0,0,0,1,4.900000095,14.016823729999999,9.44279987332,-50.1488310244
2021-06-08 20:39:07.438794880,1.4453503348571426,-0.4034754761619047,9.766049157952382,0.05847368407190475,-0.011869739652238101,0.005712946194142848,0,0,0,0,0,0,1,4.699999809,13.7947836312,8.56927993772,-50.367943114400006
2021-06-08 20:39:07.688794880,1.4264812112,-0.35006995499499993,9.754221868550001,0.020399212650499994,-0.006657706236349996,0.0031690682523500048,0,0,0,0,0,0,1,5.099999905,13.699135742,8.11739181516,-50.43772720239999
2021-06-08 20:39:07.938794880,1.4535200894,-0.31226335614,9.768817997,-0.005698996712549986,0.0033554840603999955,-0.0031690682801,0,0,0,0,0,0,1,5.099999905,13.644479751199999,7.996855888519999,-50.4904310608
2021-06-08 20:39:08.188794880,1.4197813213,-0.410847645995,9.814999580400002,0.00394136215879499,-0.00553921174724998,0.004127777938599994,0,0,0,0,0,0,1,5.099999905,13.670831717599999,7.95927986148,-50.414302825200004
2021-06-08 20:39:08.438794880,1.4961693287619044,-0.3115796922080952,9.788382303238095,0.06379984891047615,-0.026427924311380926,-0.0109757046155238,0,0,0,0,0,0,1,4.699999809,13.5302876656,7.884127845719999,-50.50995117159999
2021-06-08 20:39:08.688794880,1.57890402085,-0.032243284183544975,9.7089076524,0.014860000879999979,-0.010226237169000008,-0.021810646099349976,0,0,0,0,0,0,1,4.650000095,13.2199197772,7.14529588704,-50.79884689359999
2021-06-08 20:39:08.938794880,1.5111871483,-0.1765604019155,9.776744318,-0.019333979534299987,0.0027163441530500105,0.002583190045099995,0,0,0,0,0,0,1,4.699999809,13.209183653999998,7.34098386764,-50.689047089599995
2021-06-08 20:39:09.188794880,1.5437295377999998,-0.206739876413,9.76358385085,-0.02486811851595236,0.006594299782047617,0.0004375063999047576,0,0,0,0,0,0,1,4.400000095,13.286287764799999,7.61767982476,-50.5943745428
2021-06-08 20:39:09.438794880,1.5273899635714288,-0.2735224181761905,9.769695418238095,-0.03003957113149997,0.010172975551949992,0.00119838718410001,0,0,0,0,0,0,1,4.699999809,13.2926316824,7.90120786672,-50.578271179599994
2021-06-08 20:39:09.688794880,1.4451452256999997,-0.40199420302999994,9.788917827599999,-0.04223648905699999,0.015445878927549988,-0.007323477021349984,0,0,0,0,0,0,1,4.400000095,13.506375731999999,8.282823867800001,-50.57143905519999
2021-06-08 20:39:09.938794880,1.4673984827499997,-0.4603790730199999,9.78078212735,-0.03291570050649997,0.011824086553000001,0.010199606122499984,0,0,0,0,0,0,1,4.900000095,13.6191036988,8.594167900079999,-50.48164688120001
2021-06-08 20:39:10.188794880,1.3915687913809525,-0.5509474121428571,9.787698609714287,-0.012694026953904742,0.006847926548904742,-0.0020987626991904574,0,0,0,0,0,0,1,4.900000095,13.822111701999997,9.030439872679999,-50.30206314040001
2021-06-08 20:39:10.438794880,1.42983115925,-0.5103890717,9.776953744850001,-0.00021304662525500973,0.0008521863727999849,0.0014114337827499954,0,0,0,0,0,0,1,4.900000095,13.862615852000003,9.04898380288,-50.29571853560001
2021-06-08 20:39:10.688794880,1.40446725495,-0.54305109977,9.761878871899999,-0.02425941390648094,0.008521864135333325,0.010024603965809514,0,0,0,0,0,0,1,5.099999905,13.830407714,9.13535984032,-50.30206314040001
2021-06-08 20:39:10.938794880,1.3639943543333335,-0.6333288777428571,9.791116941619046,-0.01741656001265499,0.008042509294799981,-0.011371362540699991,0,0,0,0,0,0,1,4.400000095,13.950943756400001,9.277367782559999,-50.31719070439999
2021-06-08 20:39:11.188794880,1.3508680225499998,-0.6590431809449999,9.79896764755,-0.01512630912805497,0.002663082571500005,0.005299534241149985,0,0,0,0,0,0,1,4.699999809,14.036831702399997,9.673135872,-50.11515914920001
2021-06-08 20:39:11.438794880,1.356371516,-0.67393850088,9.777910804600001,0.0018108961317950003,0.00250329762969999,-0.000772293926349975,0,0,0,0,0,0,1,4.900000095,14.0939278416,9.58822383872,-50.164935302399996
2021-06-08 20:39:11.688794880,1.3355539620499999,-0.6624529510799999,9.77312512385,-0.0006213858945809524,0.00020290149504761904,0.0021114440197142906,0,0,0,0,0,0,1,4.799999952,14.090511704,9.67899181372,-50.1161351024
2021-06-08 20:39:11.938794880,1.3425728991904762,-0.6749753895333332,9.771974382,-0.001544587869955,0.0014380645470000002,-0.0006657706442,0,0,0,0,0,0,1,4.900000095,14.469687728800002,9.71266380324,-50.071727294
2021-06-08 20:39:12.188794880,1.35373941665,-0.6599703997449999,9.7633146762,0.005912043223999996,-0.0012250179775500003,0.0016244803060500048,0,0,0,0,0,0,1,4.900000095,14.3945356752,9.77317581208,-50.0570869452
2021-06-08 20:39:12.438794880,1.32478625795,-0.6574280232099999,9.79633545875,-0.005237395703290477,-0.0023333676648095237,-0.004432130283476167,0,0,0,0,0,0,1,5.099999905,14.119791718400002,9.66727989212,-50.11271896439999
2021-06-08 20:39:12.688794880,1.3772118601904761,-0.6606184527904762,9.77356937961905,0.0020772044138349997,-0.0014380645704000056,-0.0014114337653499953,0,0,0,0,0,0,1,4.899999857,14.118815688799998,9.7492637254,-50.1337026984
2021-06-08 20:39:12.938794880,1.3448859573999998,-0.675134906175,9.7932248116,-0.0004184844492904761,-0.0016232121381904762,-0.0015915088725238047,0,0,0,0,0,0,1,4.900000095,14.119791869999998,9.733647727960001,-50.2132466116
2021-06-08 20:39:13.188794880,1.355106734047619,-0.6746905304190475,9.772657984714286,-0.004207670458704995,-0.0023967743039499953,-0.00252992837449999,0,0,0,0,0,0,1,4.699999809,14.030487748399999,9.631167831479999,-50.1263832088
2021-06-08 20:39:13.438794880,1.3807783126,-0.6798906445499999,9.7669038296,0.0034620073214949995,-0.0005326164294000101,0.0008788172314999898,0,0,0,0,0,0,1,4.900000095,14.021215782399997,9.73364788052,-50.1195512392
2021-06-08 20:39:13.688794880,1.376983983285714,-0.6662586757,9.777215776047617,0.0014076293445095236,-0.002231916800476186,-6.974738490474768e-05,0,0,0,0,0,0,1,4.900000095,13.9933996964,9.68679985052,-50.1141830452
2021-06-08 20:39:13.938794880,1.35852506755,-0.6645765870849999,9.7834142685,0.002663082576994995,0.0006924015006000052,-0.0025831900929999853,0,0,0,0,0,0,1,4.699999809,13.934351806,9.54039981828,-50.139070892
2021-06-08 20:39:14.188794880,1.39728878135,-0.6622136741950001,9.772167921100001,0.001278279663495,-0.003568530583200001,0.00274297500429999,0,0,0,0,0,0,1,4.900000095,13.944599647199999,9.55894371028,-50.21471115040001
2021-06-08 20:39:14.438794880,1.362627023857143,-0.6485119036238095,9.779038701761905,0.003487369984995229,-0.0053261650640952325,-0.0036712495563333194,0,0,0,0,0,0,1,4.699999809,13.928983650000003,9.53698387148,-50.1136952212
2021-06-08 20:39:14.688794880,1.4255240738000001,-0.625453934065,9.77384295465,0.0004793548200450002,0.0020772043854999944,0.0031158065714999906,0,0,0,0,0,0,1,4.899999857,13.910439643599998,9.60676784512,-50.07855911400001
2021-06-08 20:39:14.938794880,1.35589295025,-0.64950180352,9.77815008165,-0.00202394278615,0.0059653048869500016,0.001411433781400005,0,0,0,0,0,0,1,4.900000095,13.9768077088,9.41059181212,-50.2654631036
2021-06-08 20:39:15.188794880,1.38771749145,-0.6598208516999999,9.78102145195,-0.0006213859165285714,0.0027391706328095144,-0.00032337427614285226,0,0,0,0,0,0,1,4.900000095,13.981687737999998,9.51795181272,-50.1175991824
2021-06-08 20:39:15.438794880,1.3530557383809525,-0.6466603193857142,9.779950414333333,0.00047935490449500014,5.326163970000499e-05,0.0009320789046499998,0,0,0,0,0,0,1,4.900000095,13.978759613599998,9.70534385692,-50.1044233712
2021-06-08 20:39:15.688794880,1.3690534652,-0.645703199505,9.779107141450002,-0.00021304659311499998,-0.00047935490765001,-0.00034620071374998496,0,0,0,0,0,0,1,4.799999952,13.951919708,9.5018478392,-50.181039581600004
2021-06-08 20:39:15.938794880,1.35302157395,-0.6391528308449999,9.7826964855,-0.00010652326170500012,-0.0009587097331,-0.0003994623634499951,0,0,0,0,0,0,1,4.900000095,14.069039649599999,9.52039192184,-50.101495208399996
2021-06-08 20:39:16.188794880,1.3801744099047617,-0.6624415573666667,9.782229332761904,-0.0011793651031,0.0005579792029999904,-0.00012047274485714292,0,0,0,0,0,0,1,5.099999905,14.025119705199998,9.52039192196,-50.164447173599996
2021-06-08 20:39:16.438794880,1.3604393184,-0.64426749945,9.7743215085,-0.0022369893443550002,0.00015978494195001004,-0.0017310036447499848,0,0,0,0,0,0,1,5.099999905,14.077823752800002,9.574071807760001,-50.190311278399996
2021-06-08 20:39:16.688794880,1.3774283647,-0.6722635298999999,9.770253706,-0.0036750539265499997,-0.000852186383500005,-0.0010918638346,0,0,0,0,0,0,1,5.0,14.058791847199998,9.63702381128,-50.08197494520001
2021-06-08 20:39:16.938794880,1.3585250547619048,-0.6628688545523812,9.784963835000001,0.0009003755820428618,-0.0009637822814761854,-0.0007291773827619,0,0,0,0,0,0,1,5.3000001910000005,14.0461037068,9.571143836920001,-50.2566789248
2021-06-08 20:39:17.188794880,1.38747821445,-0.647617450355,9.77886786465,0.00282286749879,0.0007989247679999999,0.0014114337624,0,0,0,0,0,0,1,5.099999905,14.0539117824,9.68923980728,-50.128335418800006
2021-06-08 20:39:17.438794880,1.3599607527,-0.6559923291149999,9.778867960000001,0.00122501798019,-0.0007989247562,0.001464695378699995,0,0,0,0,0,0,1,4.900000095,14.0290237432,9.6287278748,-50.10979126
2021-06-08 20:39:17.688794880,1.3692927598499998,-0.6495017975550001,9.784132146949998,0.002523587744947619,-0.003702952870285704,-0.0022509388289047383,0,0,0,0,0,0,1,5.099999905,14.03195179,9.72974380492,-50.2015351868
2021-06-08 20:39:17.938794880,1.3840485129047617,-0.6493949748095238,9.775620506,-0.0015445878407549947,0.0025032975712999997,0.0021038352162499998,0,0,0,0,0,0,1,4.900000095,13.969975699599999,9.572607917880001,-50.17371917719999
2021-06-08 20:39:18.188794880,1.3649856806499998,-0.64785673618,9.7776714802,0.000479354811295,0.0010652330240500049,-0.0005592473287499903,0,0,0,0,0,0,1,4.900000095,13.9255676652,9.618479881359999,-50.094663086
2021-06-08 20:39:18.438794880,1.3774397544285713,-0.6318191204666667,9.779950414380952,8.876946590000512e-05,0.0017246629909523717,0.0016549155961428476,0,0,0,0,0,0,1,4.900000095,13.9392317196,9.56919185632,-50.21080688439999
2021-06-08 20:39:18.688794880,1.366182077,-0.6562316209050001,9.780782127350003,-0.00255655926597,0.0012782796287,0.0016244803803500002,0,0,0,0,0,0,1,4.900000095,14.04951973,9.49843177792,-50.0975915536
